dataset,perturbation_type,severity,model_a,model_b,statistic,p_value,significant
imdb,spelling_plus_deletion,0.3,LR,NBOW,74.7577,0.0,True
imdb,spelling_plus_deletion,0.3,LR,DistilBERT,22.8659,0.0,True
imdb,spelling_plus_deletion,0.3,NBOW,DistilBERT,27.4286,0.0,True
imdb,spelling_plus_deletion,0.5,LR,NBOW,87.7864,0.0,True
imdb,spelling_plus_deletion,0.5,LR,DistilBERT,51.0621,0.0,True
imdb,spelling_plus_deletion,0.5,NBOW,DistilBERT,17.2033,0.0,True
imdb,all_combined,0.1,LR,NBOW,43.2515,0.0,True
imdb,all_combined,0.1,LR,DistilBERT,0.3699,0.543,False
imdb,all_combined,0.1,NBOW,DistilBERT,29.9444,0.0,True
imdb,all_combined,0.3,LR,NBOW,64.2774,0.0,True
imdb,all_combined,0.3,LR,DistilBERT,60.0035,0.0,True
imdb,all_combined,0.3,NBOW,DistilBERT,0.2049,0.6508,False
imdb,all_combined,0.5,LR,NBOW,115.942,0.0,True
imdb,all_combined,0.5,LR,DistilBERT,102.284,0.0,True
imdb,all_combined,0.5,NBOW,DistilBERT,2.8846,0.0894,False
yelp_polarity,clean,N/A,LR,NBOW,1.3154,0.2514,False
yelp_polarity,clean,N/A,LR,DistilBERT,23.9585,0.0,True
yelp_polarity,clean,N/A,NBOW,DistilBERT,33.1202,0.0,True
yelp_polarity,punct_removal,N/A,LR,NBOW,1.298,0.2546,False
yelp_polarity,punct_removal,N/A,LR,DistilBERT,29.7562,0.0,True
yelp_polarity,punct_removal,N/A,NBOW,DistilBERT,38.1405,0.0,True
yelp_polarity,spelling_errors,0.1,LR,NBOW,1.784,0.1817,False
yelp_polarity,spelling_errors,0.1,LR,DistilBERT,12.0914,0.0005,True
yelp_polarity,spelling_errors,0.1,NBOW,DistilBERT,21.672,0.0,True
yelp_polarity,spelling_errors,0.3,LR,NBOW,10.4575,0.0012,True
yelp_polarity,spelling_errors,0.3,LR,DistilBERT,0.3743,0.5407,False
yelp_polarity,spelling_errors,0.3,NBOW,DistilBERT,13.3389,0.0003,True
yelp_polarity,spelling_errors,0.5,LR,NBOW,50.3106,0.0,True
yelp_polarity,spelling_errors,0.5,LR,DistilBERT,25.547,0.0,True
yelp_polarity,spelling_errors,0.5,NBOW,DistilBERT,2.9797,0.0843,False
yelp_polarity,word_deletion,0.1,LR,NBOW,1.7181,0.1899,False
yelp_polarity,word_deletion,0.1,LR,DistilBERT,20.7202,0.0,True
yelp_polarity,word_deletion,0.1,NBOW,DistilBERT,31.5628,0.0,True
yelp_polarity,word_deletion,0.3,LR,NBOW,2.2562,0.1331,False
yelp_polarity,word_deletion,0.3,LR,DistilBERT,14.3442,0.0002,True
yelp_polarity,word_deletion,0.3,NBOW,DistilBERT,25.5057,0.0,True
yelp_polarity,word_deletion,0.5,LR,NBOW,5.8598,0.0155,True
yelp_polarity,word_deletion,0.5,LR,DistilBERT,7.1645,0.0074,True
yelp_polarity,word_deletion,0.5,NBOW,DistilBERT,22.7151,0.0,True
yelp_polarity,word_order,0.1,LR,NBOW,0.7756,0.3785,False
yelp_polarity,word_order,0.1,LR,DistilBERT,26.0503,0.0,True
yelp_polarity,word_order,0.1,NBOW,DistilBERT,35.4573,0.0,True
yelp_polarity,word_order,0.3,LR,NBOW,0.0592,0.8077,False
yelp_polarity,word_order,0.3,LR,DistilBERT,20.1117,0.0,True
yelp_polarity,word_order,0.3,NBOW,DistilBERT,22.3825,0.0,True
yelp_polarity,word_order,0.5,LR,NBOW,0.1645,0.6851,False
yelp_polarity,word_order,0.5,LR,DistilBERT,17.6727,0.0,True
yelp_polarity,word_order,0.5,NBOW,DistilBERT,20.1117,0.0,True
yelp_polarity,punct_plus_spelling,0.1,LR,NBOW,5.3333,0.0209,True
yelp_polarity,punct_plus_spelling,0.1,LR,DistilBERT,15.8897,0.0001,True
yelp_polarity,punct_plus_spelling,0.1,NBOW,DistilBERT,32.9389,0.0,True
yelp_polarity,punct_plus_spelling,0.3,LR,NBOW,26.4059,0.0,True
yelp_polarity,punct_plus_spelling,0.3,LR,DistilBERT,1.1598,0.2815,False
yelp_polarity,punct_plus_spelling,0.3,NBOW,DistilBERT,17.4452,0.0,True
yelp_polarity,punct_plus_spelling,0.5,LR,NBOW,46.0459,0.0,True
yelp_polarity,punct_plus_spelling,0.5,LR,DistilBERT,30.2687,0.0,True
yelp_polarity,punct_plus_spelling,0.5,NBOW,DistilBERT,1.6954,0.1929,False
yelp_polarity,deletion_plus_order,0.1,LR,NBOW,1.2327,0.2669,False
yelp_polarity,deletion_plus_order,0.1,LR,DistilBERT,17.7175,0.0,True
yelp_polarity,deletion_plus_order,0.1,NBOW,DistilBERT,27.1022,0.0,True
yelp_polarity,deletion_plus_order,0.3,LR,NBOW,2.0637,0.1508,False
yelp_polarity,deletion_plus_order,0.3,LR,DistilBERT,12.8212,0.0003,True
yelp_polarity,deletion_plus_order,0.3,NBOW,DistilBERT,23.0756,0.0,True
yelp_polarity,deletion_plus_order,0.5,LR,NBOW,4.5,0.0339,True
yelp_polarity,deletion_plus_order,0.5,LR,DistilBERT,1.8526,0.1735,False
yelp_polarity,deletion_plus_order,0.5,NBOW,DistilBERT,11.7733,0.0006,True
yelp_polarity,spelling_plus_deletion,0.1,LR,NBOW,2.963,0.0852,False
yelp_polarity,spelling_plus_deletion,0.1,LR,DistilBERT,11.1908,0.0008,True
yelp_polarity,spelling_plus_deletion,0.1,NBOW,DistilBERT,23.736,0.0,True
yelp_polarity,spelling_plus_deletion,0.3,LR,NBOW,6.6576,0.0099,True
yelp_polarity,spelling_plus_deletion,0.3,LR,DistilBERT,6.4178,0.0113,True
yelp_polarity,spelling_plus_deletion,0.3,NBOW,DistilBERT,0.0184,0.892,False
yelp_polarity,spelling_plus_deletion,0.5,LR,NBOW,26.8893,0.0,True
yelp_polarity,spelling_plus_deletion,0.5,LR,DistilBERT,35.3722,0.0,True
yelp_polarity,spelling_plus_deletion,0.5,NBOW,DistilBERT,1.264,0.2609,False
yelp_polarity,all_combined,0.1,LR,NBOW,4.223,0.0399,True
yelp_polarity,all_combined,0.1,LR,DistilBERT,2.1176,0.1456,False
yelp_polarity,all_combined,0.1,NBOW,DistilBERT,11.3216,0.0008,True
yelp_polarity,all_combined,0.3,LR,NBOW,22.3744,0.0,True
yelp_polarity,all_combined,0.3,LR,DistilBERT,46.5806,0.0,True
yelp_polarity,all_combined,0.3,NBOW,DistilBERT,9.6302,0.0019,True
yelp_polarity,all_combined,0.5,LR,NBOW,24.5,0.0,True
yelp_polarity,all_combined,0.5,LR,DistilBERT,68.5216,0.0,True
yelp_polarity,all_combined,0.5,NBOW,DistilBERT,28.9713,0.0,True
